name,text,time
1 бриллианты,зависимость зависимость б два параллельный встретиться тупик кен кент паника папа мент ванная смывать рана ху чёртов мелодия башка сидеть упрямо крепкий стекать гланда ху сдать ломбард твой сердце бриллиант ванная смывать рана ху чёртов мелодия башка сидеть упрямо крепкий стекать гланда ху сдать ломбард твой сердце бриллиант корабль море немой маяк плыть сюда сбрасывать свой якорь выпустить яд змея заслужить такой финал предсказуемый восторг неописуемый плыть сюда появиться ниоткуда знать ублюдок месть месть холодное блюдо ванная смывать рана ху чёртов мелодия башка сидеть упрямо крепкий стекать гланда ху сдать ломбард твой сердце бриллиант ванная смывать рана ху чёртов мелодия башка сидеть упрямо крепкий стекать гланда ху сдать ломбард твой сердце бриллиант,148
2 я хочу домой,никто нужный важный снаружи грязный лужа найти один жемчужина музыка давать иллюзия любовь контузия рука связать узел всё равно полный лузер убийца чей хороший знакомый притворяться вроде мозг солома сливаться незаметно хотеть конкретно туда нужный прямо хотеть домой этот душный человек человек слишком токсичный хотеть домой этот святой блядь блядь непривычно хотеть домой этот душный человек человек слишком токсичный хотеть домой этот святой блядь блядь непривычно жить честно жить сердце плести интрига клаустрофобия начаться миг появиться смотреть улыбаться ложный редко вскрываться узнать близкий возможно опечалиться циничный поступок мой нелогичный стих становиться романтичный хотеть домой этот душный человек человек слишком токсичный хотеть домой этот святой блядь блядь непривычно хотеть домой этот душный человек человек слишком токсичный хотеть домой этот святой блядь блядь непривычно,146
наивный возраст,хотеть вид наш чувство хотеть обнять сам хруст нужный твой мысль нужно твой тело весь этот фальшь тот вокруг осточертеть делить пропиться мозг наивный возраст всё оказаться слишком слишком просто любить пока поздно делить пропиться мозг наивный возраст всё оказаться слишком слишком просто любить всё хотеть обнять сам хруст мой мозг ещё смочь одолеть марсель пруст говорить косноязычный видеть никто далёкий никто близкий делить пропиться мозг наивный возраст всё оказаться слишком слишком просто любить … делить пропиться мозг наивный возраст всё оказаться слишком слишком просто любить пока поздно делить пропиться мозг наивный возраст всё оказаться слишком слишком просто любить,165
4 на кухне,курить прямо кухня вечно дым дышать сегодня завтра рухнуть тип финал мы нечего делить мы друг друг нечего сказать бояться внутри ещё сильный бояться понять вроде знать очень долго вроде знать пьяный бесконечно короткий наш любовь знать правильно сделать гитара заходить спросить «почему ночь белые » ответить «этый сжигать мост » приходить приходить давать быть вечно сидеть кухня праздник будни неважно приходить к рассказать рассказать дело твой сам дело давать неделя увидеться вновь слово просить любовь приходить приходить давать быть вечно сидеть кухня праздник будни неважно приходить к рассказать рассказать дело твой сам дело давать неделя увидеться вновь слово просить любовь спросить «как погода » ответить «без осадков» простить сниться полгода один сон очень сладкий простить делать больно простить сегодня говорить вроде спокойный душа осадка закрыть окно двор шумно слышать потеряться среди пустой комната город улица повсюду искать хата голова бардак голова хата бордель пусть остаться 8 этаж ждать открытый дверь приходить приходить давать быть вечно сидеть кухня праздник будни неважно приходить к рассказать рассказать дело твой сам дело давать неделя увидеться вновь слово просить любовь приходить приходить давать быть вечно сидеть кухня праздник будни неважно приходить к рассказать рассказать дело твой сам дело давать неделя увидеться вновь слово просить любовь,235
5 Don_t cry,скучать хотя наверно скучать пейзаж вокруг вызывать отчаяние почему ранний замечать сотня город плечо самый родный самый любимый самый ненавистный я гонимый трещина сердце мой сердце холод лютый дать ты согреться хата цао мерседес сделать принцесса правда звучать сурово малый заводский хата цао мерседес сделать принцесса правда звучать сурово малый заводский саратов рай саратов рай больно don’t don’t cry саратов рай саратов рай больно don’t cry саратов рай саратов рай больно don’t don’t cry саратов рай саратов рай больно казак разбойник рука сажа помнить толпа бежать среди старый пятиэтажка вещь вырост ничего забыться джинсы рынок который развалиться первый стирка киров крутой арбат родный небо душевный закат шмота prada старший брат сегодня ранний плацкарт еда обратно хата цао мерседес сделать принцесса правда звучать сурово малый заводский хата цао мерседес сделать принцесса правда звучать сурово малый заводский саратов рай саратов рай больно don’t don’t cry саратов рай саратов рай больно don’t cry саратов рай саратов рай больно don’t don’t cry саратов рай саратов рай больно,182
6 динамит,крыть тысяча герц позволять разбить пацанский сердце мазать внутри снаружи позволять плевать пацансковать душа динамит динамит внутри разрывать динамит смотреть пьяный глаз любить другой простить динамит динамит внутри разрывать динамит смотреть пьяный глаз любить другой простить вести последний придурок прокручивать слово снова снова зацепить притянуть кроме женский пол почему игнорита звонить почему открывать твой сообщение слева тянуть сильно болеть пацан должный достойно принимать поражение динамит динамит внутри разрывать динамит смотреть пьяный глаз любить другой простить динамит динамит внутри разрывать динамит смотреть пьяный глаз любить другой простить,130
7 бывшая муза,завтра закончиться важно ты хотеться никакой ссора расстаться теория мочь знать сдвинуться горе жечь свой сердце оно бутафория стирать начисто наш история голова телефон ребёнок браузер стирать порно верный шаг любить нуль почему сердце каменный груз хотеть давать второй шанс просто твой бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший тащить дно вредный джуса мы точно нормальный союз голова мусор твой муза быть никакой плюс любить многие немногий сколько такой обивать порог нужный никто тянуть мой высота верный шаг любить нуль почему сердце каменный груз хотеть давать второй шанс просто твой бывший бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший муза твой бывший бывший бывший бывший,195
8 без одежды,жвачка ментол старый магнитола ехать знать наверное гулять оборона всё готовый дать повод хотеть дать надежда мечтать увидеть одежда бояться влюбиться неизбежно неизбежно хотеть дать надежда мечтать увидеть одежда бояться влюбиться неизбежно неизбежно банальный вечер пятый встреча наливать напиток специально покрепче твой голова давно вместе посвящать мой песня хотеть дать надежда мечтать увидеть одежда бояться влюбиться неизбежно неизбежно хотеть дать надежда мечтать увидеть одежда бояться влюбиться неизбежно неизбежно некуда деться некуда деться твой сердце забирать коллекция некуда деться некуда деться твой сердце забирать хотеть дать надежда мечтать увидеть одежда бояться влюбиться неизбежно неизбежно хотеть дать надежда мечтать увидеть одежда бояться влюбиться неизбежно неизбежно,153
9 нирвана,фак фак весь твой бывший улица жара плюс тысяча цельсий солнце греться друг друг человек сущий скука утонуть итог сердце холостой пуля нужно никакой дурь нужный твой поцелуй твой поцелуй улетать нирвана похожий другой пара ты угарай мариванна улетать нирвана похожий другой пара ты угарай мариванна стоп стоп длинный тирада трезвый взгляд никакой реверанс дать прилично шанс другой бездна первый место быть мой песня просто знать знать подарить хороший лето подарить хороший лето улетать нирвана похожий другой пара ты угарай мариванна улетать нирвана похожий другой пара ты угарай мариванна улетать нирвана похожий другой пара ты угарай мариванна улетать нирвана похожий другой пара ты угарай мариванна улетать нирвана похожий другой пара ты угарай мариванна улетать нирвана похожий другой пара ты угарай мариванна улетать нирвана похожий другой пара ты угарай мариванна нирвана мариванна,197
