name,text,time
1 не люби,любить любить мочь простить прощать хотеть говорить позвонить надоесть всё наш город n вчера салют послать остаться дом кто похожий узнавать самый знакомый знакомый кто нужный дурацкий уют смотреть глаз нечего видеть хотеть знать хотеть хотеть ранний мы срывать крыша плацкарта тысяча самолёт крымский вино майот чувство витрина знать мой свадьба дойти значит зажить любовь профнепригодный море пресный волна короче расклад очень пускай последний строчка любить любить мочь простить прощать хотеть говорить позвонить надоесть всё наш город n какой ещё бездушный человек такой ещё пол москва рваный разбитый поломать судьба твой глаз терпкий сухой вино мой глаз детский святой вода понимать никто понимать слишком глупо давно жить ты жить ты всё ждать happy end наступать помнить говорить рубль стоить почему звать дорогой зло говорить страшный вещь неужели ты становиться лёгкий неужели любить становиться нечего любовь вечный никто вечный любить любить мочь простить прощать хотеть говорить позвонить надоесть всё уезжать,194
2 смог спасти,мы тихий взлёт уметь растопить лёд затея снегопад апрель тёплый ладонь полночь просидеть пятый перрон источник text pesni com этот весна право лишний разговор марать свой диктофон типичный минор подъезд мой считать минута подумать наяву смочь стереть мой прошлое утиль пробраться первый последний ряд понять смочь спасти потеснить сердце мой прошлый жилец мы резко небо потолок молчание ответ монолог каждый вечер белый красный мешать смотреть твой взгляд мешать спать крепко малолетка сбегать звонок дрожь позвонок лёгкий платье лёгкий бреда целовать подъезд вид смочь стереть мой прошлое утиль пробраться первый последний ряд понять смочь спасти потеснить сердце мой прошлый жилец смочь стереть мой прошлое утиль пробраться первый последний ряд понять смочь спасти потеснить сердце мой прошлый жилец,130
3 без тормозов,быть делать недотрога поэтому трогать каждый я твой рука разум аут подкосить нога катастрофа гребанный торнадо хороший аппетит подруга я фартовый жизнь серый бледный хуевой… литься бокал поверх грязный битов лететь скорость тормоз утопать тысяча сообщение звонок подруга че понимать бля любовь литься бокал поверх грязный битов лететь скорость тормоз утопать тысяча сообщение звонок подруга че понимать бля любовь никакой одежда дизайнер наш голод город погружать сайлента этот катастрофа гребанный цунами тошный переписывать наш пошлый сценарий подруга ты шарить хороший сорт прошлый позапрошлый парень… литься бокал поверх грязный битов лететь скорость тормоз утопать тысяча сообщение звонок подруга че понимать бля любовь литься бокал поверх грязный битов лететь скорость тормоз утопать тысяча сообщение звонок подруга че понимать бля,149
4 рушу,ютуба кусать мой губа грубо видеть мой глаз отруб запалить оба труп слишком близко целовать жадно мой тело просить пощада отменить свой uber обратный сдаваться ты сегодня победа ладный тянуть валита нога кружить почему рушить почему рушить почему рушить тянуть валита нога кружить почему рушить почему рушить почему рушить почему летать табла наш рейс онлайн табло твой глаз читаться «diablo» видимо прошарить любить наглый твой сердце стрела метать мой пробить оно металл время выйти вон пьяный рай хотеть любовь избегать тянуть валита нога кружить почему рушить почему рушить почему рушить тянуть валита нога кружить почему рушить почему рушить почему рушить почему,126
5 в яму,пульсировать боль левый висок обычно налегке тянуть ты помнить маршрут раскрыться парашют источник text pesni com падать резко резко яма толк серый бездна тон дерзить волна резко яма толк серый бездна тон дерзить волна бессознанка рвать дешёвый бар вроде гребанный холод плавить любить суровый поэтому я плохой парень забивной падать лютый угар мой voice' жёсткий repeat' твой войско палить рапид победитель проиграть отдать падать ям падать резко резко яма толк серый бездна тон дерзить волна резко яма толк серый бездна тон дерзить волна спрашивать порядок навряд сердце мой играть прятки дофамин пак дофамин факт спрашивать порядок навряд сердце мой играть прятки дофамин пак дофамин факт факт,145
6 об лед,твой взгляд камера делать облёт мой силуэт спотыкаться лёд общий фото фон обшарпать обои один твой любовь хватит… твой взгляд камера делать облёт мой силуэт спотыкаться лёд общий фото фон обшарпать обои один твой любовь хватить оба источник text pesni com погода нестабильный занести ветер спятить наверное твой ладонь греть вроде горячий становиться тёплый наш мелодия никакой смысл начаться закончиться быстро близко метр подпустить прицепиться к подобно клещ хватать рок н ролл навигатор сбросить маршрут твой дом соло подобно гитара раскол наш заметить пьяный угар перекур голодный желудок трасса никуда глупый поступок беда влюбить твой фальшивый «вместе навсегда» твой взгляд камера делать облёт мой силуэт спотыкаться лёд общий фото фон обшарпать обои один твой любовь хватить оба твой взгляд камера делать облёт мой силуэт спотыкаться лёд общий фото фон обшарпать обои один твой любовь хватить оба мы немыслимо допустимый петь месть мстить стена который пробиться твой пуля пропустить момент туда повернуть каждый врать ночевать сегодня дом мочь говорить правда хотя капля рома кричать жить истерик молча слушать тупо пялить телек тело синяк любовь сжимать сильно вырываться объятие дешёвый фильм рубильник вырывать никакой ток мы мало удивиться узнать знать сам начало пытаться скрыть заместить след прийти ты дверь открыть твой взгляд камера делать облёт мой силуэт спотыкаться лёд общий фото фон обшарпать обои один твой любовь хватить оба твой взгляд камера делать облёт мой силуэт спотыкаться лёд общий фото фон обшарпать обои один твой любовь хватить оба,202
7 бассейн,развести свой сердце пожар почему жаль думать сон мой волос лосниться лицо снег весь растаять чувство мой растаять нелюбовь ты ты mon ami отгружать баллада тонна твой «люблю» водопад зонт дышать ладан бассейн наполнить яд топить твой «люблю» водопад зонт дышать ладан бассейн наполнить яд топить такой овердо**ть сказать «моя» простить прямота провести пара год ад нравиться тон спрашивать «что парень » сдать делать ты больно правда хотеть бояться задеть твой чувство держать дистанция искусство твой «люблю» водопад зонт дышать ладан бассейн наполнить яд топить твой «люблю» водопад зонт дышать ладан бассейн наполнить яд топить,159
8 балкон,коридор молчать факт переместиться гостиный плавно душа мой комната мрак снимать кабла равный приток тело ливень тупой страсть горло давить рана мой рецидив никакой перспектива балкон балкон трястись наш вибрация к всё лезть целоваться фон фон поставить любимый песня сосед слышать летать вместе классно немного противно тело побочка вегетативный чистый море грязный тина наш ночь мутить твой губа лечить фарма дискомфорт область диафрагма дорога давать объективно никакой перспектива балкон балкон трястись наш вибрация к всё лезть целоваться фон фон поставить любимый песня сосед слышать летать вместе вид милый добродушный ты душный бро душный нужно сорри пас крепкий прижать последний балкон балкон трястись наш вибрация к всё лезть целоваться фон фон поставить любимый песня сосед слышать летать вместе,127
9 невыносимо,сразу оценить аутфита сердце играть правило ты фолита изливать душа ты битый рядом дефицит витамин d3 сильно бодрить мысль ты тащить bad trip невольно пролить всё вино больно брать вина дождь лить напролом насквозь промокнуть пощадить взлетать вниз голова крутой обрыв больно невыносимый больно невыносимый больно невыносимый влюбляться постепенно становиться мирный степенной твой палец грубо мой волос стерва дерзить тонус нарушить весь кодекс игра очевидный забирать бонус дождь лить напролом насквозь промокнуть пощадить взлетать вниз голова крутой обрыв больно невыносимый больно невыносимый больно невыносимый либо либо либо ничей определяться подсадить качели блядь кататься атомный бомба хиросима делать больно невыносимый больно невыносимый больно невыносимый,140
